"key","value"
"EA","EAC"
"KG","KGM"
"M","MTR"
"M2","MTK"
"P","PCE"
"PC","PCE"
"PCS","PCE"
"PIECE","PCE"
"PIECE(片)","PCE"
"PR","NPR"
"PAIR","NPR"
"Y","YRD"
"YARD","YRD"
"YARDS","YRD"
"YD","YRD"
"YDS","YRD"
"YDR","YRD"
"100210","10021000004"
"100290","10029000007"
"100310","10031000003"
"100390","10039000006"
"100410","10041000002"
"100490","10049000005"
"100510","10051000001"
"100610","10061000000"
"100620","10062000008"
"100640","10064000004"
"100710","10071000009"
"100790","10079000002"
"100821","10082100005"
"100829","10082900007"
"100830","10083000004"
"100840","10084000002"
"100850","10085000009"
"100860","10086000007"
"100890","10089000207"
"110412","11041200009"
"110430","11043000007"
"110520","11052000008"
"110710","11071000008"
"110720","11072000006"
"110811","11081100006"
"110812","11081200005"
"110813","11081300004"
"110820","11082000005"
"120241","12024100005"
"120242","12024200004"
"120300","12030000003"
"120710","12071000301"
"120721","12072100004"
"120729","12072900006"
"120760","12076000104"
"120791","12079100009"
"120910","12091000005"
"120921","12092100002"
"120922","12092200001"
"120923","12092300000"
"120924","12092400009"
"120925","12092500008"
"120929","12092900004"
"120930","12093000001"
"121010","12101000002"
"121020","12102000000"
"121130","12113000007"
"121140","12114000005"
"121150","12115000002"
"121292","12129200001"
"121293","12129300000"
"121294","12129400009"
"121300","12130000001"
"121410","12141000008"
"130120","13012000000"
"130211","13021100000"
"130212","13021200009"
"130213","13021300008"
"130214","13021400007"
"130220","13022000009"
"130231","13023100006"
"140110","14011000001"
"140120","14012000009"
"140420","14042000006"
"150110","15011000000"
"150120","15012000008"
"150190","15019000003"
"150290","15029000002"
"150410","15041000007"
"150420","15042000005"
"150430","15043000003"
"150710","15071000004"
"150790","15079000007"
"150810","15081000003"
"150890","15089000006"
"150920","15092000000"
"150930","15093000008"
"150940","15094000006"
"150990","15099000005"
"151010","15101000009"
"151090","15109000002"
"151110","15111000008"
"151190","15119000001"
"151221","15122100004"
"151229","15122900006"
"151311","15131100005"
"151319","15131900007"
"151411","15141100102"
"151419","15141900006"
"151511","15151100003"
"151519","15151900005"
"151521","15152100001"
"151529","15152900003"
"151530","15153000000"
"151550","15155000005"
"151560","15156000003"
"151630","15163000009"
"151710","15171000002"
"152000","15200000009"
"152110","15211000006"
"160300","16030000009"
"160431","16043100109"
"160432","16043200000"
"170112","17011200006"
"170114","17011400004"
"170220","17022000005"
"170230","17023000003"
"170240","17024000001"
"170250","17025000008"
"170260","17026000006"
"170410","17041000005"
"180200","18020000008"
"180310","18031000005"
"180320","18032000003"
"180400","18040000006"
"180500","18050000005"
"180610","18061000002"
"180620","18062000000"
"180631","18063100007"
"180632","18063200006"
"190120","19012000004"
"190240","19024000009"
"190430","19043000009"
"190510","19051000002"
"190520","19052000000"
"190531","19053100007"
"190532","19053200006"
"200540","20054000003"
"200570","20057000006"
"200710","20071000007"
"200830","20083000002"
"200840","20084000000"
"200850","20085000007"
"200860","20086000005"
"200870","20087000003"
"200880","20088000001"
"200891","20089100008"
"200893","20089300006"
"200897","20089700002"
"200981","20098100009"
"210111","21011100001"
"210112","21011200000"
"210120","21012000000"
"210130","21013000008"
"210220","21022000009"
"210230","21023000007"
"210320","21032000008"
"210330","21033000006"
"220291","22029100002"
"220300","22030000001"
"220421","22042100005"
"220422","22042200004"
"220429","22042900007"
"220430","22043000004"
"220830","22083000000"
"220840","22084000008"
"220850","22085000005"
"220860","22086000003"
"220870","22087000001"
"220900","22090000005"
"230210","23021000009"
"230230","23023000005"
"230310","23031000008"
"230330","23033000004"
"230610","23061000005"
"230620","23062000003"
"230630","23063000001"
"230641","23064100008"
"230649","23064900000"
"230650","23065000006"
"230660","23066000004"
"230800","23080000005"
"230910","23091000002"
"240130","24013000005"
"240210","24021000008"
"240220","24022000006"
"240311","24031100006"
"240319","24031900008"
"240391","24039100009"
"240411","24041100005"
"240419","24041900007"
"240491","24049100008"
"240492","24049200007"
"240499","24049900000"
"250200","25020000009"
"250300","25030000008"
"250410","25041000005"
"250490","25049000008"
"250510","25051000004"
"250610","25061000003"
"250620","25062000001"
"250810","25081000001"
"250830","25083000007"
"250840","25084000005"
"250850","25085000002"
"250860","25086000000"
"250870","25087000008"
"250900","25090000002"
"251010","25101000007"
"251020","25102000005"
"251110","25111000006"
"251120","25112000004"
"251310","25131000004"
"251611","25161100000"
"251720","25172000008"
"251730","25173000006"
"251741","25174100003"
"251749","25174900005"
"251810","25181000009"
"251820","25182000007"
"251910","25191000008"
"251990","25199000001"
"252020","25202000003"
"252100","25210000006"
"252210","25221000003"
"252220","25222000001"
"252230","25223000009"
"252321","25232100009"
"252330","25233000008"
"252410","25241000001"
"252490","25249000004"
"252510","25251000000"
"252520","25252000008"
"252530","25253000006"
"252610","25261000009"
"252620","25262000007"
"252910","25291000006"
"252921","25292100003"
"252922","25292200002"
"252930","25293000002"
"253020","25302000001"
"260111","26011100006"
"260112","26011200005"
"260120","26012000005"
"260200","26020000008"
"260300","26030000007"
"260400","26040000006"
"260500","26050000005"
"260700","26070000003"
"260800","26080000002"
"260900","26090000001"
"261000","26100000008"
"261100","26110000007"
"261210","26121000004"
"261220","26122000002"
"261310","26131000003"
"261390","26139000006"
"261400","26140000004"
"261510","26151000001"
"261610","26161000000"
"261710","26171000009"
"261800","26180000000"
"262011","26201100003"
"262021","26202100001"
"262029","26202900003"
"262030","26203000000"
"262040","26204000008"
"262060","26206000003"
"262091","26209100006"
"262110","26211000003"
"270111","27011100005"
"270112","27011200004"
"270119","27011900007"
"270120","27012000004"
"270210","27021000005"
"270220","27022000003"
"270300","27030000006"
"270500","27050000004"
"270600","27060000003"
"270710","27071000000"
"270720","27072000008"
"270730","27073000006"
"270740","27074000004"
"270750","27075000001"
"270791","27079100002"
"270810","27081000009"
"270820","27082000007"
"271099","27109900009"
"271111","27111100003"
"271112","27111200002"
"271113","27111300001"
"271121","27112100001"
"271210","27121000003"
"271220","27122000001"
"271311","27131100001"
"271312","27131200000"
"271320","27132000000"
"271390","27139000005"
"271410","27141000001"
"271490","27149000004"
"271600","27160000001"
"280110","28011000005"
"280120","28012000003"
"280200","28020000006"
"280410","28041000002"
"280421","28042100009"
"280429","28042900001"
"280430","28043000008"
"280469","28046900002"
"280480","28048000007"
"280490","28049000005"
"280511","28051100000"
"280512","28051200009"
"280519","28051900002"
"280540","28054000005"
"280620","28062000008"
"280910","28091000007"
"281111","28111100002"
"281112","28111200001"
"281211","28121100001"
"281212","28121200000"
"281213","28121300009"
"281214","28121400008"
"281215","28121500007"
"281216","28121600006"
"281217","28121700005"
"281310","28131000001"
"281410","28141000000"
"281420","28142000008"
"281511","28151100008"
"281512","28151200007"
"281520","28152000007"
"281810","28181000006"
"281820","28182000004"
"281830","28183000002"
"281910","28191000005"
"282010","28201000002"
"282090","28209000005"
"282410","28241000008"
"282510","28251000007"
"282580","28258000002"
"282612","28261200004"
"282630","28263000002"
"282710","28271000005"
"282720","28272000003"
"282731","28273100000"
"282732","28273200009"
"282735","28273500006"
"282741","28274100008"
"282749","28274900000"
"282759","28275900007"
"282911","28291100002"
"283190","28319000002"
"283210","28321000008"
"283220","28322000006"
"283311","28331100006"
"283319","28331900008"
"283321","28332100004"
"283322","28332200003"
"283324","28332400001"
"283325","28332500000"
"283327","28332700008"
"283340","28334000001"
"283421","28342100003"
"283522","28352200001"
"283524","28352400009"
"283525","28352500008"
"283531","28353100000"
"283539","28353900002"
"283630","28363000000"
"283640","28364000008"
"283650","28365000005"
"283660","28366000003"
"283691","28369100006"
"283692","28369200005"
"283911","28391100000"
"284011","28401100007"
"284019","28401900009"
"284020","28402000006"
"284030","28403000004"
"284130","28413000003"
"284161","28416100005"
"284169","28416900007"
"284170","28417000004"
"284180","28418000002"
"284210","28421000006"
"284310","28431000005"
"284321","28432100002"
"284420","28442000002"
"284430","28443000000"
"284441","28444100007"
"284442","28444200006"
"284443","28444300005"
"284444","28444400004"
"284450","28445000005"
"284510","28451000003"
"284520","28452000001"
"284530","28453000009"
"284540","28454000007"
"284590","28459000006"
"284610","28461000002"
"284690","28469000005"
"284700","28470000003"
"284910","28491000009"
"284920","28492000007"
"285290","28529000006"
"285310","28531000002"
"290121","29012100001"
"290122","29012200000"
"290211","29021100002"
"290220","29022000001"
"290230","29023000009"
"290241","29024100006"
"290242","29024200005"
"290243","29024300004"
"290244","29024400003"
"290250","29025000004"
"290260","29026000002"
"290270","29027000000"
"290312","29031200000"
"290313","29031300009"
"290314","29031400008"
"290315","29031500007"
"290321","29032100009"
"290322","29032200008"
"290323","29032300007"
